Xw,Yw,Zw
1.5000016428530216,135.70507811382413,-35.04809668848793
1.5000016428530216,135.9550781082362,-35.481109372929744
1.5000016428530216,136.20507810264826,-35.914122057371564
1.5000016428530216,136.45507809706032,-36.34713474181339
1.5000016428530216,136.7050780914724,-36.780147426255205
1.5000016428530216,136.95507808588445,-37.21316011069702
1.5000016428530216,137.20507808029652,-37.646172795138845
1.5000016428530216,137.45507807470858,-38.079185479580666
1.5000016428530216,137.70507806912065,-38.51219816402248
1.5000016428530216,137.9550780635327,-38.9452108484643
1.5000016428530216,138.20507805794477,-39.37822353290612
1.5000016428530216,138.45507805235684,-39.81123621734795
1.5000016428530216,138.7050780467689,-40.24424890178976
1.5000016428530216,138.95507804118097,-40.67726158623157
1.5000016428530216,139.20507803559303,-41.1102742706734
1.5000016428530216,139.4550780300051,-41.54328695511522
1.5000016428530216,139.70507802441716,-41.976299639557034
1.5000016428530216,139.95507801882923,-42.40931232399885
1.5000016428530216,140.2050780132413,-42.842325008440675
1.5000016428530216,140.45507800765336,-43.2753376928825
1.5000016428530216,140.70507800206542,-43.708350377324315
1.5000016428530216,140.95507799647748,-44.14136306176613
1.5000016428530216,141.20507799088955,-44.57437574620795
1.5000016428530216,141.4550779853016,-45.007388430649776
1.5000016428530216,141.70507797971368,-45.44040111509159
1.5000016428530216,141.95507797412574,-45.8734137995334
1.7500016372650862,142.2050779685378,-46.30642648397523
1.7500016372650862,142.45507796294987,-46.73943916841705
1.7500016372650862,142.70507795736194,-47.17245185285886
1.7500016372650862,142.955077951774,-47.605464537300676
1.7500016372650862,143.20507794618607,-48.038477221742504
1.7500016372650862,143.45507794059813,-48.47148990618433
1.7500016372650862,143.7050779350102,-48.904502590626144
1.7500016372650862,143.95507792942226,-49.33751527506796
1.7500016372650862,144.20507792383432,-49.77052795950978
1.7500016372650862,144.4550779182464,-50.203540643951605
1.7500016372650862,144.70507791265845,-50.63655332839342
1.7500016372650862,144.95507790707052,-51.06956601283523
1.7500016372650862,145.20507790148258,-51.50257869727706
1.7500016372650862,145.45507789589465,-51.93559138171888
1.7500016372650862,145.7050778903067,-52.36860406616069
1.7500016372650862,145.95507788471878,-52.801616750602506
1.7500016372650862,146.20507787913084,-53.23462943504433
1.7500016372650862,146.4550778735429,-53.66764211948616
1.7500016372650862,146.70507786795497,-54.10065480392797
1.7500016372650862,146.95507786236703,-54.53366748836979
1.7500016372650862,147.2050778567791,-54.96668017281161
1.7500016372650862,147.45507785119116,-55.399692857253434
1.7500016372650862,147.70507784560323,-55.83270554169525
1.7500016372650862,147.9550778400153,-56.26571822613706
1.7500016372650862,148.20507783442736,-56.69873091057889
1.7500016372650862,148.45507782883942,-57.13174359502071
1.7500016372650862,148.7050778232515,-57.56475627946253
1.7500016372650862,148.95507781766355,-57.99776896390434
1.7500016372650862,149.20507781207561,-58.43078164834616
1.7500016372650862,149.45507780648768,-58.86379433278799
1.7500016372650862,149.70507780089974,-59.2968070172298
1.7500016372650862,149.9550777953118,-59.729819701671616
1.7500016372650862,150.20507778972387,-60.16283238611344
1.7500016372650862,150.45507778413594,-60.595845070555264
1.7500016372650862,150.705077778548,-61.02885775499708
1.7500016372650862,150.95507777296007,-61.46187043943889
1.7500016372650862,151.20507776737213,-61.89488312388072
1.7500016372650862,151.4550777617842,-62.327895808322545
1.7500016372650862,151.70507775619626,-62.76090849276436
1.7500016372650862,151.95507775060833,-63.19392117720617
1.7500016372650862,152.2050777450204,-63.62693386164799
1.7500016372650862,152.45507773943245,-64.05994654608982
1.7500016372650862,152.70507773384452,-64.49295923053164
1.7500016372650862,152.95507772825658,-64.92597191497345
1.7500016372650862,153.20507772266865,-65.35898459941527
1.7500016372650862,153.4550777170807,-65.7919972838571
1.7500016372650862,153.70507771149278,-66.2250099682989
1.7500016372650862,153.95507770590484,-66.65802265274073
